"","Family","FFG","N","mean","sd","se"
"3","Comamonadaceae","Scraper",9,0.362962962962963,0.460508307454456,0.153502769151485
"4","Comamonadaceae","Shredder",7,2.31428571428571,1.02068552541855,0.385782866722969
"5","Cytophagaceae","Scraper",9,0.0111111111111111,0.0333333333333333,0.0111111111111111
"6","Cytophagaceae","Shredder",7,1.17142857142857,0.616269713508915,0.232928057497944
"7","Desulfovibrionaceae","Scraper",9,0,0,0
"8","Desulfovibrionaceae","Shredder",7,9.92380952380952,3.25671467528098,1.23092244598399
"11","Lachnospiraceae","Scraper",9,0,0,0
"12","Lachnospiraceae","Shredder",7,7.90952380952381,3.33042730467819,1.25878320110823
"13","Methylophilaceae","Scraper",9,0.0111111111111111,0.0333333333333333,0.0111111111111111
"14","Methylophilaceae","Shredder",7,5.09047619047619,2.19145768211179,0.828293147941405
"17","Rikenellaceae","Scraper",9,0,0,0
"18","Rikenellaceae","Shredder",7,7.07619047619048,3.38677790093542,1.28008172452635
"19","Ruminococcaceae","Scraper",9,0,0,0
"20","Ruminococcaceae","Shredder",7,9.69047619047619,4.86722653878923,1.83963871375
